commands,label
Batti bujha dae,light off
balab bujha dae,light off
balab band kar dae,light off
light band kr do,light off
light bujha do,light off
light off kar de,light off
make it dark,light off
Turn off the light,light off
Switch off the light,light off
Batti bujhaw tae,light off
bulb bujhaiye,light off
balab jala dae,light on
batti jala dae,light on
light jala do,light on
light on kar do,light on
light on ho ja,light on
bulb jala do,light on
light chalu kar do,light on
balab chalu kara ho,light on
batti jalaw tae,light on
batti jalaiye,light on
bulb jalaiye,light on
paani garam kare wala machiniya chalu kar dae,geyser on
paani garam kare wala machiniya start kar dae,geyser on
Turn on the geyser,geyser on
Switch on the geyser,geyser on
Geyser on,geyser on
Please turn on the geyser,geyser on
Paani garam karne wala machine chala do,geyser on
Paani garam karne wala machine on do,geyser on
Paani garam karne wala machine shuru kar do,geyser on
Paani garam karne wala machine start kar do,geyser on
machine chalu kar do paani garam karne wala,geyser on
paani garam kare wala machiniya band kar dae,geyser off
paani garam kare wala machiniya off kar dae,geyser off
Turn off the geyser,geyser off
Switch off the geyser,geyser off
Geyser off,geyser off
Please turn off the geyser,geyser off
Paani garam karne wala machine band kar do,geyser off
Paani garam karne wala machine off kar do,geyser off
machine band kar do paani garam karne wala,geyser off
tani gyser start kara da,geyser on
tanki gyser strt kar de,geyser on
tani gyser start kar da,geyser on
tanki gyser strt kr de,geyser on
tanika gyser strt kr de,geyser on
paani garam kare wala machiniya bnd kar dae,geyser off
paani garam kare wala masiniya band kar dae,geyser off
paani garam kare wala mashniya bnd kar dae,geyser off
paani garam kare wala machiniya bnd kar dae,geyser off
pani garm kre wala machine bnd ke de,geyser off
pani garm kare wala machine bnd ho,geyser off
geyser band,geyser off
gyser bnd de,geyser off
geyser bnd kr,geyser off
gyser bnd kr,geyser off
gyser bnd ,geyser off
tani gyser band kara da,geyser off
tanki gyser bnd kar de,geyser off
tani gyser bnd kar da,geyser off
tanki gyser bnd kr de,geyser off
tanika gyser bnd kr de,geyser off
tani gyser band kara dahi,geyser off
tani gyser band kara dhi,geyser off
blb jala dae,light on
blb jla dae,light on
light jla de,light on
light jala dijie,light on
lights on,light on
switch on the light,light on
switch on light,light on
btti jla do,light on
btti jla dijie,light on
btti bujha de,light off
btti bujha dae,light off
blb band kr de,light off
balb bnd kr dae,light off
light bnd,light off
mk it drk,light off
switch off d light,light off
mk it dark,light off
dark kro,light off
drk krdo,light off
balb band,light off
blb bnd,light off
lights off,light off
lights band,light off
start lights,light on
lights start,light on
strt light,light on
paani garam kro,geyser on
heat bath water,geyser on
Turn on d geyser,geyser on
Plz turn on d geyser,geyser on
Plzz trn on the geyser,geyser on
start geyser,geyser on
strt gyser,geyser on
